Category: All categories

Day,suicide: (Worldwide)
2017-01-15,98
2017-01-16,77
2017-01-17,71
2017-01-18,68
2017-01-19,71
2017-01-20,66
2017-01-21,79
2017-01-22,85
2017-01-23,69
2017-01-24,74
2017-01-25,75
2017-01-26,77
2017-01-27,76
2017-01-28,81
2017-01-29,86
2017-01-30,68
2017-01-31,68
2017-02-01,69
2017-02-02,69
2017-02-03,71
2017-02-04,74
2017-02-05,75
2017-02-06,62
2017-02-07,64
2017-02-08,63
2017-02-09,67
2017-02-10,64
2017-02-11,72
2017-02-12,76
2017-02-13,65
2017-02-14,61
2017-02-15,62
2017-02-16,65
2017-02-17,65
2017-02-18,73
2017-02-19,80
2017-02-20,71
2017-02-21,67
2017-02-22,67
2017-02-23,65
2017-02-24,67
2017-02-25,76
2017-02-26,78
2017-02-27,100
2017-02-28,74
2017-03-01,68
2017-03-02,65
2017-03-03,70
2017-03-04,72
2017-03-05,78
2017-03-06,67
2017-03-07,64
2017-03-08,61
2017-03-09,64
2017-03-10,60
2017-03-11,67
2017-03-12,71
2017-03-13,61
2017-03-14,63
2017-03-15,62
2017-03-16,60
2017-03-17,65
2017-03-18,66
2017-03-19,70
2017-03-20,64
2017-03-21,61
2017-03-22,65
2017-03-23,63
2017-03-24,59
2017-03-25,68
2017-03-26,68
2017-03-27,62
2017-03-28,59
2017-03-29,61
2017-03-30,58
