Category: All categories

Day,how to commit suicide: (Worldwide)
2017-01-15,43
2017-01-16,57
2017-01-17,32
2017-01-18,44
2017-01-19,59
2017-01-20,72
2017-01-21,32
2017-01-22,34
2017-01-23,66
2017-01-24,47
2017-01-25,37
2017-01-26,44
2017-01-27,39
2017-01-28,37
2017-01-29,46
2017-01-30,25
2017-01-31,35
2017-02-01,23
2017-02-02,38
2017-02-03,37
2017-02-04,34
2017-02-05,43
2017-02-06,22
2017-02-07,35
2017-02-08,28
2017-02-09,28
2017-02-10,39
2017-02-11,25
2017-02-12,28
2017-02-13,27
2017-02-14,23
2017-02-15,39
2017-02-16,44
2017-02-17,38
2017-02-18,41
2017-02-19,33
2017-02-20,28
2017-02-21,25
2017-02-22,25
2017-02-23,35
2017-02-24,24
2017-02-25,25
2017-02-26,21
2017-02-27,86
2017-02-28,45
2017-03-01,32
2017-03-02,21
2017-03-03,53
2017-03-04,25
2017-03-05,42
2017-03-06,39
2017-03-07,33
2017-03-08,29
2017-03-09,26
2017-03-10,28
2017-03-11,94
2017-03-12,100
2017-03-13,51
2017-03-14,29
2017-03-15,35
2017-03-16,41
2017-03-17,21
2017-03-18,58
2017-03-19,32
2017-03-20,27
2017-03-21,27
2017-03-22,27
2017-03-23,25
2017-03-24,23
2017-03-25,22
2017-03-26,31
2017-03-27,45
2017-03-28,32
2017-03-29,41
2017-03-30,17
