Category: All categories

Day,suicide songs: (Worldwide)
2017-01-15,100
2017-01-16,52
2017-01-17,77
2017-01-18,71
2017-01-19,75
2017-01-20,50
2017-01-21,85
2017-01-22,58
2017-01-23,45
2017-01-24,77
2017-01-25,33
2017-01-26,81
2017-01-27,91
2017-01-28,79
2017-01-29,100
2017-01-30,73
2017-01-31,42
2017-02-01,51
2017-02-02,65
2017-02-03,77
2017-02-04,81
2017-02-05,90
2017-02-06,44
2017-02-07,67
2017-02-08,41
2017-02-09,67
2017-02-10,47
2017-02-11,88
2017-02-12,43
2017-02-13,70
2017-02-14,57
2017-02-15,62
2017-02-16,45
2017-02-17,45
2017-02-18,70
2017-02-19,59
2017-02-20,45
2017-02-21,41
2017-02-22,67
2017-02-23,62
2017-02-24,33
2017-02-25,63
2017-02-26,75
2017-02-27,31
2017-02-28,66
2017-03-01,67
2017-03-02,52
2017-03-03,62
2017-03-04,58
2017-03-05,50
2017-03-06,48
2017-03-07,39
2017-03-08,53
2017-03-09,66
2017-03-10,36
2017-03-11,62
2017-03-12,61
2017-03-13,38
2017-03-14,41
2017-03-15,47
2017-03-16,45
2017-03-17,30
2017-03-18,51
2017-03-19,64
2017-03-20,44
2017-03-21,28
2017-03-22,32
2017-03-23,51
2017-03-24,23
2017-03-25,52
2017-03-26,47
2017-03-27,60
2017-03-28,63
2017-03-29,58
2017-03-30,62
